,Park_ID,Block_ID,Distance
0,B001,3.6081E+11,2452.201
1,B002,3.6081E+11,14327.907
2,B007,3.6081E+11,19410.967
3,B021,3.6081E+11,7322.477
4,B019,3.6081E+11,10355.06
5,B035,3.6081E+11,18579.592
6,B023,3.6081E+11,6780.019
7,B001,3.6081E+11,11008.508
8,B002,3.6081E+11,11204.086
9,B007,3.6081E+11,18170.129
10,B021,3.6081E+11,10842.899
11,B019,3.6081E+11,12936.322
12,B035,3.6081E+11,18500.032
13,B023,3.6081E+11,7166.918
14,B001,3.6081E+11,10590.421
15,B002,3.6081E+11,10785.999
16,B007,3.6081E+11,17752.042
17,B021,3.6081E+11,10424.812
18,B019,3.6081E+11,12518.235
19,B035,3.6081E+11,18081.945
20,B023,3.6081E+11,6748.831
21,B001,3.6081E+11,10725.388
22,B002,3.6081E+11,10920.966
23,B007,3.6081E+11,17887.009
24,B021,3.6081E+11,10559.779
25,B019,3.6081E+11,12653.202
26,B035,3.6081E+11,18216.912
27,B023,3.6081E+11,6883.798
28,B001,3.6081E+11,10438.849
29,B002,3.6081E+11,10634.427
30,B007,3.6081E+11,17600.47
31,B021,3.6081E+11,10273.24
32,B019,3.6081E+11,12366.663
33,B035,3.6081E+11,17930.373
34,B023,3.6081E+11,6597.259
35,B001,3.6081E+11,10878.266
36,B002,3.6081E+11,11073.844
37,B007,3.6081E+11,18039.887
38,B021,3.6081E+11,10712.657
39,B019,3.6081E+11,12806.08
40,B035,3.6081E+11,18369.79
41,B023,3.6081E+11,7036.676
42,B001,3.6081E+11,11334.015
43,B002,3.6081E+11,10584.144
44,B007,3.6081E+11,17575.694
45,B021,3.6081E+11,11024.158
46,B019,3.6081E+11,12663.489
47,B035,3.6081E+11,18227.199
48,B023,3.6081E+11,6894.085
